"","name","address_admin","APN","liaison","ownership_structure","capacity","independent_booking","events_per_month","years_operating","funding_source","interdisciplinarity","event_promotion","purpose","community_focus","creativity","experimentation","threats_neighbors","threats_cost","threats_licensing","description","contact_name","contact_email","contact_telephone","url","zip","county","city","genre","venueType_club","venueType_disco","venueType_openAir","venueType_concertHall","venueType_theater","venueType_cinema","venueType_musicBar","venueType_gallery","venueType_restaurant","venueType_warehouse","venueType_arena","venueType_shop","venueType_studio","y","x","interdisciplinarity_ord","event_promotion_ord","community_focus_ord","creativity_ord","experimentation_ord","ownership_structure_ord","independent_booking_ord"
"94","Nectar Urban Cantina","206 MCGAVOCK PIKE","9504003100","Adrianna Flax","1. Yes","","3. Never","3. 11-20 Events per month","2. 3-10 Years","4. Mixed/all of the above","2. Not too likely","3. Somewhat likely","3. Somewhat likely","1.Not At All Likely","","1.Not At All Likely","0","0","0","Nectar Cantina is a restaurant and bar located in Nashville, Tennessee that serves Mexican-inspired cuisine and a variety of drinks.","","nectarcantina@gmail.com","(615) 454-2277","https://www.nectarcantina.com/","37214","Davidson","Nashville","No Genre Specifed","","","","","","","","","","","","","",36.1681389042098,-86.6807180053028,2,3,1,NA,1,1,0
"95","Neighbors of Sylvan Park","4425 MURPHY RD","10308005400","","2. No","","4. Information unavailable","","3. 11-20 Years","","1.Not At All Likely","1.Not At All Likely","1.Not At All Likely","1.Not At All Likely","","1.Not At All Likely","0","0","0","Neighborhood Sports and Entertainment Bar with live music peformances.","","","(615) 942-5052","https://neighborsnashville.com/press/","37209","Davidson","Nashville","No Genre Specifed","","","","","","","","","","","","","",36.1407000343448,-86.840106106772,1,1,1,NA,1,0,0
"96","Nissan Stadium","1 TITANS WAY","9303006600","Eric Holt","2. No","69143","1. Always","3. 11-20 Events per month","4. 20+ Years","1. Ticket sales","1.Not At All Likely","2. Not too likely","3. Somewhat likely","3. Somewhat likely","","3. Somewhat likely","0","0","0","Multipurpose stadium daily used for the Tennessee Titans as their home field but also for concerts and the CMA Music festival each June","","","(615) 565-4300","https://www.tennesseetitans.com/stadium/","37213","Davidson","Nashville","No Genre Specifed","","","","","","","","","","","","","",36.1661718380032,-86.7715277080985,1,2,3,NA,3,0,1
"97","Noble's East Nashville","974 MAIN ST","8309019300","","1. Yes","","2. Sometimes","1. 1-4 Events per month","2. 3-10 Years","","1.Not At All Likely","1.Not At All Likely","1.Not At All Likely","1.Not At All Likely","","1.Not At All Likely","0","0","0","Noble's East Nashville is a bar and restaurant located in downtown Nashville, Tennessee. It offers a range of services, including drinks, snacks, traditional straight razor shaves, and live music performances.","","","(615) 922-4189","http://noblesbeerhall.com/","37206","Davidson","Nashville","No Genre Specifed","","","","","","","","","","","","","",36.1776242311874,-86.7519245439188,1,1,1,NA,1,1,0
"98","Nudie's Honky Tonk","409 BROADWAY","9306400600","Marcus Dowling","2. No","750","2. Sometimes","3. 11-20 Events per month","2. 3-10 Years","4. Mixed/all of the above","1.Not At All Likely","2. Not too likely","3. Somewhat likely","1.Not At All Likely","","1.Not At All Likely","0","0","0","This long-running, multi-level hangout features live music & a roadhouse vibe, plus a rooftop bar.","","","","https://www.nudieshonkytonk.com/","37203","Davidson","Nashville","Country","","","","","","","","","","","","","",36.1605166616766,-86.7773290764037,1,2,1,NA,1,0,0
"99","Old Glory","1200 VILLA PL","10501023300","Eric Holt","1. Yes","","4. Information unavailable","3. 11-20 Events per month","3. 11-20 Years","","1.Not At All Likely","1.Not At All Likely","1.Not At All Likely","1.Not At All Likely","","1.Not At All Likely","0","0","0","Old Glory is a specialty cocktail bar that's located in an old 1920s boiler room in Nashville, Tennessee's Edgehill Village neighborhood.","","info@oldglorynashville.com","","https://oldglorynashville.com/","37212","Davidson","Nashville","No Genre Specifed","","","","","","","","","","","","","",36.1427160803375,-86.791675486161,1,1,1,NA,1,1,0
"100","Ole Red","300 BROADWAY","9306202900","Eric Holt","1. Yes","697","4. Information unavailable","4. 20+ Events per month","2. 3-10 Years","4. Mixed/all of the above","1.Not At All Likely","3. Somewhat likely","3. Somewhat likely","2. Not too likely","","1.Not At All Likely","0","0","0","Multi-level entertainment venue inspired by Blake Shelton's hit ""Old' Red"" featuring a two-story bar and restaurant, retail area, performance space, and dance floor.","","nashville@olered.com","(615) 780-0900","https://olered.com/nashville/","37201","Davidson","Nashville","Country","","","","","","","","","","","","","",36.1617422644678,-86.776286262436,1,3,2,NA,1,1,0
"101","Opry Backstage Grill","2401 MUSIC VALLEY DR","6200002900","Marcus Dowling","2. No","Null","4. Information unavailable","","","","1.Not At All Likely","1.Not At All Likely","1.Not At All Likely","1.Not At All Likely","","1.Not At All Likely","0","0","0","Rustic dishes with roots in the Tennessee hills & live country music in a fun & lively atmosphere.","","","(615) 231-8854","https://www.marriott.com/en-us/hotels/bnagi-the-inn-at-opryland-a-gaylord-hotel/dining/?EM=DNM_OPRYBACKSTAGEGRILL.COM","37214","Davidson","Nashville","Country","","","","","","","","","","","","","",36.2178625537805,-86.6949961412843,1,1,1,NA,1,0,0
"102","Out Loud Music Festival; Tomato Art Fest","14 JAMES ROBERTSON PKWY","8215006700","Adrianna Flax","2. No","","4. Information unavailable","1. 1-4 Events per month","3. 11-20 Years","","2. Not too likely","3. Somewhat likely","2. Not too likely","2. Not too likely","","2. Not too likely","0","0","0","Tomato Art Fest has been uniting fruits and vegetables since 2004. The annual festival attracts people from all over with fun-themed art, local music, delicious food, costumes, wacky contests, shopping, kids activities, & more.","Jack Davis","jack@goodneighborfestivals.com","","https://www.tomatoartfest.com/","37206","Davidson","Nashville","No Genre Specifed","","","","","","","","","","","","","",36.1737113004534,-86.7683128688773,2,3,2,NA,2,0,0
"103","Out Loud Music Festival; Tomato Art Fest","14 JAMES ROBERTSON PKWY","8215006700","Adrianna Flax","2. No","","4. Information unavailable","1. 1-4 Events per month","3. 11-20 Years","","2. Not too likely","3. Somewhat likely","2. Not too likely","2. Not too likely","","2. Not too likely","0","0","0","Tomato Art Fest has been uniting fruits and vegetables since 2004. The annual festival attracts people from all over with fun-themed art, local music, delicious food, costumes, wacky contests, shopping, kids activities, & more.","Jack Davis","jack@goodneighborfestivals.com","","https://www.tomatoartfest.com/","37206","Davidson","Nashville","No Genre Specifed","","","","","","","","","","","","","",36.1770163838316,-86.7492334409574,2,3,2,NA,2,0,0
"104","Out Loud Music Festival; Tomato Art Fest","14 JAMES ROBERTSON PKWY","8215006700","","1. Yes","","3. Never","1. 1-4 Events per month","2. 3-10 Years","1. Ticket sales","3. Somewhat likely","4. Very Likely","4. Very Likely","4. Very Likely","","4. Very Likely","0","1","0","OUTLOUD Music Festival was created in 2017 to celebrate LGBTQI+ and ally musicians/artists. The festival creates a fun, energetic, and diverse line up that celebrates equality.","","","","https://www.outloudmusicfestival.com/","37213","Davidson","Nashville","No Genre Specifed","","","","","","","","","","","","","",36.1737113004534,-86.7683128688773,3,4,4,NA,4,1,0
"105","Out Loud Music Festival; Tomato Art Fest","14 JAMES ROBERTSON PKWY","8215006700","","1. Yes","","3. Never","1. 1-4 Events per month","2. 3-10 Years","1. Ticket sales","3. Somewhat likely","4. Very Likely","4. Very Likely","4. Very Likely","","4. Very Likely","0","1","0","OUTLOUD Music Festival was created in 2017 to celebrate LGBTQI+ and ally musicians/artists. The festival creates a fun, energetic, and diverse line up that celebrates equality.","","","","https://www.outloudmusicfestival.com/","37213","Davidson","Nashville","No Genre Specifed","","","","","","","","","","","","","",36.1770163838316,-86.7492334409574,3,4,4,NA,4,1,0
"106","Outback Presents","209 10TH AVE S","9309032000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.1551063591957,-86.7825688983274,NA,NA,NA,NA,NA,0,0
"107","Oz Arts Nashville","6172 COCKRILL BEND CIR","7900009400","Eric Holt","1. Yes","","1. Always","3. 11-20 Events per month","2. 3-10 Years","1. Ticket sales","3. Somewhat likely","4. Very Likely","4. Very Likely","3. Somewhat likely","","3. Somewhat likely","0","0","0","Contemporary arts center that's housed in a newly renovated former cigar warehouse featuring a modern, flexible performance and installation space","Tim Ozgener","info@ozartsnashville.org","(615) 350-7200","https://www.ozartsnashville.org/","37209","Davidson","Nashville","No Genre Specifed","","","","","","","","","","","","","",36.1796913175691,-86.8910274041475,3,4,3,NA,3,1,1
"108","Phat Bites Deli & Bar","2730 LEBANON PIKE","9601001000","","1. Yes","200","3. Never","2. 5-10 Events per month","","4. Mixed/all of the above","1.Not At All Likely","2. Not too likely","2. Not too likely","3. Somewhat likely","","1.Not At All Likely","0","0","0","Phat Sandwiches, Wraps, Salads, Bongo Java Coffee, Espresso, Bar, Live Music, Open Mic, Karaoke and more!","","phatbitescatering@gmail.com","(615) 871-4055","https://www.phatbites.com/","37214","Davidson","Nashville","No Genre Specifed","","","","","","","","","","","","","",36.1688845558948,-86.6657065205595,1,2,3,NA,1,1,0
"109","Plaza Mariachi","3955 NOLENSVILLE PIKE","13315015400","Adrianna Flax","2. No","1126","2. Sometimes","3. 11-20 Events per month","2. 3-10 Years","4. Mixed/all of the above","3. Somewhat likely","4. Very Likely","4. Very Likely","3. Somewhat likely","","3. Somewhat likely","0","0","0","A tourist and entertainment center that includes an art gallery, a Mariachi Hall of Fame, live Mariachi music as well as shopping","","","(615) 373-9292","https://plazamariachi.com/","37211","Davidson","Nashville","Mariachi","","","","","","","","","","","","","",36.0845717298691,-86.7298229124813,3,4,3,NA,3,0,0
"110","Ray Stevens CabaRay","5724 RIVER RD","10200001200","","1. Yes","725","2. Sometimes","2. 5-10 Events per month","2. 3-10 Years","","2. Not too likely","4. Very Likely","4. Very Likely","1.Not At All Likely","","3. Somewhat likely","0","0","0","A Vegas-style Cabaret Showroom in Nashville walls decorated as an homage to the producers, musicians, songwriters, and artists who made Nashville ?Music City? with live music and a full dinner service","","info@raystevenscabaray.com","(615) 327-4630","https://raystevenscabaray.com/","37209","Davidson","Nashville","No Genre Specifed","","","","","","","","","","","","","",36.1295806603487,-86.9084220158718,2,4,1,NA,3,1,0
"111","Red Door Saloon","1816 DIVISION ST","9216022300","","2. No","","4. Information unavailable","1. 1-4 Events per month","","","1.Not At All Likely","1.Not At All Likely","1.Not At All Likely","1.Not At All Likely","","1.Not At All Likely","0","0","0","Down-home bar and music venue offering drinks, hot dogs, steamed sandwiches & more with optional outdoor seating","","","(615) 320-6525","No website available","37203","Davidson","Nashville","No Genre Specifed","","","","","","","","","","","","","",36.1506328778858,-86.7959056716477,1,1,1,NA,1,0,0
"112","Red Door Saloon East","1010 FORREST AVE","8309012700","","2. No","","4. Information unavailable","","","","1.Not At All Likely","1.Not At All Likely","1.Not At All Likely","1.Not At All Likely","","1.Not At All Likely","0","0","0","Down-home bar and music venue offering drinks, hot dogs, steamed sandwiches & more with optional outdoor seating","","","(615) 226-7660","https://reddooreast.splashthat.com/","37206","Davidson","Nashville","No Genre Specifed","","","","","","","","","","","","","",36.17824763562,-86.7500578744722,1,1,1,NA,1,0,0
"113","Redneck Riviera","208 BROADWAY","9306211100","Marcus Dowling","1. Yes","400","4. Information unavailable","2. 5-10 Events per month","2. 3-10 Years","4. Mixed/all of the above","1.Not At All Likely","2. Not too likely","2. Not too likely","1.Not At All Likely","","1.Not At All Likely","0","0","0","Raucous destination featuring cocktails, brews & BBQ meals, plus nightly live music & a rooftop bar.","","contact@redneckrivieranashville.com","(615) 436-4070","https://redneckrivieranashville.com/","37201","Davidson","Nashville","No Genre Specifed","","","","","","","","","","","","","",36.1619056148992,-86.7759017882828,1,2,1,NA,1,1,0
"114","Renaissance Nashville Hotel-Bridge Bar","611 COMMERCE ST","9306311900","","2. No","0","4. Information unavailable","","","","1.Not At All Likely","1.Not At All Likely","1.Not At All Likely","1.Not At All Likely","","4. Very Likely","0","0","0","Contemporary lounge features an eclectic array of live music, a 42-ft. bar & views of Nashville.","","","(615) 630-3899","https://www.marriott.com/en-us/hotels/bnash-renaissance-nashville-hotel/dining/","37203","Davidson","Nashville","No Genre Specifed","","","","","","","","","","","","","",36.1607643782364,-86.7811421947112,1,1,1,NA,4,0,0
"115","Rippy's Smokin' Bar & Grill","429 BROADWAY","9306310400","","1. Yes","800","2. Sometimes","3. 11-20 Events per month","4. 20+ Years","4. Mixed/all of the above","1.Not At All Likely","3. Somewhat likely","1.Not At All Likely","1.Not At All Likely","","1.Not At All Likely","0","0","0","Top Golf","Laura Sumpter","lsumpter@rippysbarandgrill.com","(615) 244-7477","https://www.rippyshonkytonk.com/","37203","Davidson","Nashville","Country","","","","","","","","","","","","","",36.1603567468744,-86.7781165621406,1,3,1,NA,1,1,0
"116","Rocketown (Main Building)","601 4TH AVE S","9310038100","","2. No","1500","2. Sometimes","2. 5-10 Events per month","4. 20+ Years","","3. Somewhat likely","3. Somewhat likely","3. Somewhat likely","2. Not too likely","","2. Not too likely","0","0","0","A multi-faceted oasis for youth comprised of three music venues featuring faith based music, a skatepark, a coffee bar, various after-school programs, and weekly outreach events","","info@rocketown.org","(615) 843-4001","https://www.rocketown.org/","37210","Davidson","Nashville","Faith Based","","","","","","","","","","","","","",36.1541142464825,-86.7731314057868,3,3,2,NA,2,0,0
"117","Santa's Pub","2225 BRANSFORD AVE","10515006000","","1. Yes","","3. Never","","2. 3-10 Years","","1.Not At All Likely","1.Not At All Likely","2. Not too likely","1.Not At All Likely","","1.Not At All Likely","0","0","0","Bar and Karaoke in Nashville, serving up cold beer and karaoke for 10 years. House band on Sundays but live music otherwise is sparse.","","","615-593-1872","https://www.santaspub.com/","37204","Davidson","Nashville","No Genre Specifed","","","","","","","","","","","","","",36.1273528785504,-86.767241247249,1,1,1,NA,1,1,0
"118","Schermerhorn Symphony Center","1 SYMPHONY PL","9306406200","Eric Holt","2. No","1844","4. Information unavailable","4. 20+ Events per month","4. 20+ Years","1. Ticket sales","3. Somewhat likely","4. Very Likely","4. Very Likely","3. Somewhat likely","","1.Not At All Likely","0","0","0","The home of the Nashville Symphony, this venue is located across from the Country Music Hall of Fame and Museum featuring classical, jazz and world music","","","(615) 687-6400","https://www.nashvillesymphony.org/","37201","Davidson","Nashville","Classical, Jazz, World Music","","","","","","","","","","","","","",36.1597617885275,-86.7755446838684,3,4,3,NA,1,0,0
"119","Sheraton Downtown Nashville","623 UNION ST","9305201600","","2. No","Null","4. Information unavailable","","","","1.Not At All Likely","1.Not At All Likely","3. Somewhat likely","1.Not At All Likely","","1.Not At All Likely","0","0","0","Hotel in downtown Nashville featuring live music in their lounge and restaurant","","","(615) 259-2000","https://www.marriott.com/en-us/hotels/bnand-sheraton-grand-nashville-downtown/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0","37219","Davidson","Nashville","No Genre Specifed","","","","","","","","","","","","","",36.1631042502108,-86.7829051442598,1,1,1,NA,1,0,0
"120","Sid Gold<92>s Request Room","3245 GALLATIN PIKE","7206004500","Adrianna Flax","2. No","","3. Never","","","4. Mixed/all of the above","1.Not At All Likely","3. Somewhat likely","2. Not too likely","1.Not At All Likely","","1.Not At All Likely","0","0","0","Sid Gold’s Request Room is a piano karaoke bar and lounge that is a great spot to grab drinks, listen to live music, and sing karaoke.","","","(629) 800-5847","https://sidgolds.com/","37216","Davidson","Nashville","No Genre Specifed","","","","","","","","","","","","","",36.2083496741794,-86.7354351436357,1,3,1,NA,1,0,0
"121","Sinema","2600 8TH AVE S","11802026300","Eric Holt","1. Yes","","4. Information unavailable","1. 1-4 Events per month","2. 3-10 Years","4. Mixed/all of the above","2. Not too likely","2. Not too likely","2. Not too likely","1.Not At All Likely","","1.Not At All Likely","0","0","0","Hosts a variety of live music performances, from jazz and blues to folk and rock. The venue also offers a full bar and restaurant, making it a great spot to enjoy live music and drinks.","Carly Houison","carly@sinemanashville.com","(615) 942-7746","https://www.sinemanashville.com/the-lounge","37204","Davidson","Nashville","Jazz, Blues, Folk, and Rock","","","","","","","","","","","","","",36.122149638576,-86.7744453612786,2,2,1,NA,1,1,0
"122","Solberg Studios","1618 JEFFERSON ST","8115059500","Adrianna Flax","1. Yes","","2. Sometimes","3. 11-20 Events per month","1. 0-3 Years","4. Mixed/all of the above","4. Very Likely","4. Very Likely","4. Very Likely","3. Somewhat likely","","3. Somewhat likely","0","0","0","Solberg Studios is Nashville's newest Collaborative Audio and Video Studio Space.","","","(615) 450-6592","https://solberg-studios.business.site/?utm_source=gmb&utm_medium=referral","37208","Davidson","Nashville","No Genre Specifed","","","","","","","","","","","","","",36.1704061705857,-86.8038670003989,4,4,3,NA,3,1,0
"123","Southern Grist Brewing East Nashville","754 DOUGLAS AVE","7116030200","","1. Yes","80","4. Information unavailable","2. 5-10 Events per month","2. 3-10 Years","4. Mixed/all of the above","1.Not At All Likely","1.Not At All Likely","3. Somewhat likely","3. Somewhat likely","","1.Not At All Likely","0","0","0","A neighborhood brewery operating taprooms in East Nashville featuring live music events","","","(629) 203-7159","https://www.southerngristbrewing.com/","37207","Davidson","Nashville","No Genre Specifed","","","","","","","","","","","","","",36.1931740518655,-86.7543174778608,1,1,3,NA,1,1,0
"124","Star Rover Sound","1400 ADAMS ST","8205017200","","1. Yes","","2. Sometimes","3. 11-20 Events per month","","4. Mixed/all of the above","1.Not At All Likely","4. Very Likely","4. Very Likely","3. Somewhat likely","","1.Not At All Likely","0","0","0","Nashville neighborhood restaraunt serving margaritas, live music and a classic honky tonk snack bar.","","starroversound@rocketfarmrestaurants.com","(615) 709-3158","https://www.starroversound.com/","37208","Davidson","Nashville","No Genre Specifed","","","","","","","","","","","","","",36.1814843191518,-86.784138792092,1,4,3,NA,1,1,0
"125","Symphony Lounge at Hilton Nashville Downtown","121 4TH AVE S","093064B00100CO","","2. No","","4. Information unavailable","","","","2. Not too likely","1.Not At All Likely","1.Not At All Likely","1.Not At All Likely","","1.Not At All Likely","0","0","0","It is located in the atrium lobby, and offers a range of drinks, snacks, and live music performances.","","","(615) 620-1000","https://www.hilton.com/en/hotels/bnanshf-hilton-nashville-downtown/?SEO_id=GMB-AMER-HH-BNANSHF&y_source=1_MTIyMDc4Mi03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D","37201","Davidson","Nashville","No Genre Specifed","","","","","","","","","","","","","",36.1599931884855,-86.777422893388,2,1,1,NA,1,0,0
"126","TailGate Brewery East","811 GALLATIN AVE","8305018200","","1. Yes","Null","4. Information unavailable","","2. 3-10 Years","4. Mixed/all of the above","1.Not At All Likely","1.Not At All Likely","1.Not At All Likely","1.Not At All Likely","","1.Not At All Likely","0","0","0","A brewery with taprooms offering a rotating beer list and live music","","social@tailgatebeer.com","(629) 203-7152","https://www.tailgatebeer.com/east-nashville","37206","Davidson","Nashville","No Genre Specifed","","","","","","","","","","","","","",36.1863417633244,-86.7469552776389,1,1,1,NA,1,1,0
"127","TailGate Brewery Music Row","1538 DEMONBREUN ST","9313000800","","1. Yes","Null","4. Information unavailable","","2. 3-10 Years","4. Mixed/all of the above","1.Not At All Likely","1.Not At All Likely","1.Not At All Likely","1.Not At All Likely","","1.Not At All Likely","0","0","0","A brewery with taprooms offering a rotating beer list and live music","","","(629) 702-5914","https://www.tailgatebeer.com/","37203","Davidson","Nashville","No Genre Specifed","","","","","","","","","","","","","",36.1525863095048,-86.7913341067971,1,1,1,NA,1,1,0
"128","Tailgate Brewery-HQ","7300 CHARLOTTE PIKE","11400013700","","1. Yes","Null","4. Information unavailable","","2. 3-10 Years","4. Mixed/all of the above","1.Not At All Likely","1.Not At All Likely","1.Not At All Likely","1.Not At All Likely","","1.Not At All Likely","0","0","0","Substantial revenue from restaurant or bar outside of live music","","","(615) 861- 9842","https://www.tailgatebeer.com/","37209","Davidson","Nashville","No Genre Specifed","","","","","","","","","","","","","",36.120024253727,-86.9200384050652,1,1,1,NA,1,1,0
"129","Tennessee Brew Works","809 EWING AVE","9314033500","","1. Yes","200","4. Information unavailable","","2. 3-10 Years","4. Mixed/all of the above","1.Not At All Likely","3. Somewhat likely","3. Somewhat likely","3. Somewhat likely","","1.Not At All Likely","0","0","0","Beers brewed on-site offered in an industrial taproom with oak barrel tables, a patio & live music.","","","(615) 436-0050","https://www.tnbrew.com/","37203","Davidson","Nashville","No Genre Specifed","","","","","","","","","","","","","",36.1502985352342,-86.7762324160791,1,3,3,NA,1,1,0
"130","Tequila Cowboy","305 BROADWAY","9306402600","","1. Yes","Null","2. Sometimes","4. 20+ Events per month","","4. Mixed/all of the above","1.Not At All Likely","3. Somewhat likely","3. Somewhat likely","3. Somewhat likely","","1.Not At All Likely","0","0","0","Buzzy, multi-roomed nightspot featuring a live music stage, dance club, game area and mechanical bull.","","","(615) 742-9078","https://tequilacowboy.com/nashville/","37201","Davidson","Nashville","No Genre Specifed","","","","","","","","","","","","","",36.1612463806724,-86.7760994756584,1,3,3,NA,1,1,0
"131","Texas Troubadour Theatre","2416 MUSIC VALLEY DR","6200023300","","1. Yes","150","4. Information unavailable","3. 11-20 Events per month","","4. Mixed/all of the above","1.Not At All Likely","3. Somewhat likely","3. Somewhat likely","3. Somewhat likely","","1.Not At All Likely","0","0","0","An intimate and historically rich venue for audiences who enjoy listening to live traditional country music, featuring many legendary country artists and up and coming performers","","","(615) 889-2474","http://www.texastroubadourtheatre.com/phone/index.html","37214","Davidson","Nashville","Country","","","","","","","","","","","","","",36.2193629960737,-86.6971097730653,1,3,3,NA,1,1,0
"132","The 5 Spot","1006 FORREST AVE","8309013000","Eric Holt","1. Yes","","3. Never","4. 20+ Events per month","4. 20+ Years","4. Mixed/all of the above","2. Not too likely","4. Very Likely","4. Very Likely","4. Very Likely","","3. Somewhat likely","0","0","0","The 5 Spot is East Nashville's live music venue and hang out.","","manager@the5spot.club","(615) 650-9333","https://the5spot.club/","37206","Davidson","Nashville","No Genre Specifed","","","","","","","","","","","","","",36.1782850846992,-86.7503970661217,2,4,4,NA,3,1,0
"133","The Basement East","1604 8TH AVE S","10506019900","Eric Holt","1. Yes","","2. Sometimes","4. 20+ Events per month","2. 3-10 Years","1. Ticket sales","2. Not too likely","4. Very Likely","4. Very Likely","4. Very Likely","","4. Very Likely","0","1","0","The Basement is a cozy live music venue with a spacious patio hosting an array of alternative, rock & indie artists.","","thebasement615@gmail.com","(615) 645-9174","https://www.thebasementnashville.com/","37206","Davidson","Nashville","Alternative, Rock, and Indie","","","","","","","","","","","","","",36.1370552377897,-86.7783603424595,2,4,4,NA,4,1,0
"134","The Bowery Vault","2905 GALLATIN PIKE","7210001400","Adrianna Flax","1. Yes","Null","4. Information unavailable","4. 20+ Events per month","2. 3-10 Years","3. Tips","3. Somewhat likely","4. Very Likely","4. Very Likely","3. Somewhat likely","","1.Not At All Likely","0","0","0","The Bowery Vault is where music and fashion lovers can shop, drink and listen to original live music in an intimate setting.","Vero Sanchez","veromusicnyc@gmail.com","(615) 730-5024","http://www.theboweryvault.com/","37216","Davidson","Nashville","No Genre Specifed","","","","","","","","","","","","","",36.2028267399815,-86.7393782987065,3,4,3,NA,1,1,0
"135","The Bridge (Renaissance Nashville Hotel)","611 COMMERCE ST","9306311900",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.1607643782364,-86.7811421947112,NA,NA,NA,NA,NA,0,0
"136","The Cobra","2511 GALLATIN AVE","7213009300","","1. Yes","260","3. Never","3. 11-20 Events per month","","4. Mixed/all of the above","2. Not too likely","3. Somewhat likely","4. Very Likely","4. Very Likely","","4. Very Likely","0","0","0","An eclectic bar and entertainment venue with live music of almost every genre almost every night in the venue. Billiards, arcade games, and pinball in the game room and darts in the main bar.","","","(629) 800-2515","https://cobranashville.com/shows/","37206","Davidson","Nashville","No Genre Specifed","","","","","","","","","","","","","",36.1955792228637,-86.7432467467452,2,3,4,NA,4,1,0
"137","The Countrypolitan Bar & Kitchen (inside Hotel Indigo)","301 UNION ST","9302315200","","2. No","","4. Information unavailable","3. 11-20 Events per month","1. 0-3 Years","","2. Not too likely","2. Not too likely","3. Somewhat likely","3. Somewhat likely","","1.Not At All Likely","0","0","0","Chic hotel lobby lounge with upscale pub food, plus a full bar with craft beer selections.","","","(615) 891-6000","countrypolitanhotel.com","37201","Davidson","Nashville","No Genre Specifed","","","","","","","","","","","","","",36.1653572142197,-86.778757423565,2,2,3,NA,1,0,0
"138","The Cowan","500 COWAN ST","8210006200","","2. No","600","4. Information unavailable","","","","1.Not At All Likely","1.Not At All Likely","1.Not At All Likely","1.Not At All Likely","","1.Not At All Likely","0","0","0","A two-story live performance venue with a capacity of over 600; featuring a state-of-the-art sound and light system, an open floor plan & a balcony with limited seating","","","(615) 205-9667","https://topgolf.com/us/nashville/","37207","Davidson","Nashville","No Genre Specifed","","","","","","","","","","","","","",36.1786576976641,-86.7777711471362,1,1,1,NA,1,0,0
"139","The District Bar & Kitchen (Hotel Indigo Downtown)","315 UNION ST","9302315100","","2. No","90","4. Information unavailable","","","","1.Not At All Likely","2. Not too likely","2. Not too likely","2. Not too likely","","1.Not At All Likely","0","0","0","Restaurant serves seasonal local and regional fare, craft cocktails, local small batch beers, and nightly live music.","","","(615) 891-6000","https://nashvilledowntown.com/go/the-district-bar-and-kitchen","37201","Davidson","Nashville","No Genre Specifed","","","","","","","","","","","","","",36.1651646911003,-86.778957659415,1,2,2,NA,1,0,0
"140","The Donelson Pub","945 ALLEN RD","9613015301","","1. Yes","","2. Sometimes","3. 11-20 Events per month","4. 20+ Years","1. Ticket sales","1.Not At All Likely","3. Somewhat likely","3. Somewhat likely","3. Somewhat likely","","1.Not At All Likely","0","0","0","","","","(615) 889-9653
","https://www.facebook.com/worldfamousdonelsonpub/","37214","Davidson","Nashville","","","","","","","","","","","","","","",36.1503152686151,-86.6657500404843,1,3,3,NA,1,1,0
"141","The East Room","2412 GALLATIN AVE","7213039000","Adrianna Flax","1. Yes","","3. Never","3. 11-20 Events per month","3. 11-20 Years","4. Mixed/all of the above","3. Somewhat likely","4. Very Likely","4. Very Likely","4. Very Likely","","4. Very Likely","0","0","0","The East Room is a down-to-earth performance space showcasing rock bands, comedy nights, theater & dance parties.","","booking@theeastroomnashville.com","(615) 678-4936","https://www.theeastroomnashville.com/","37206","Davidson","Nashville","Rock","","","","","","","","","","","","","",36.1945058669997,-86.742978431938,3,4,4,NA,4,1,0
"142","The Eighth Room","2106 8TH AVE S","10510029900","","1. Yes","","2. Sometimes","3. 11-20 Events per month","1. 0-3 Years","4. Mixed/all of the above","3. Somewhat likely","3. Somewhat likely","3. Somewhat likely","3. Somewhat likely","","3. Somewhat likely","0","1","0","When you enter The Eighth Room, you are on the 'inside' both literally and figuratively; immersed within a living, breathing art piece that envelops you in a cocoon of luxury, style, and good vibes. At its heart... our bar.","Jason Hollis and Brad Dunbar","","","https://www.eighthroom.com/","37204","Davidson","Nashville","No Genre Specifed","","","","","","","","","","","","","",36.1318899357745,-86.778606479564,3,3,3,NA,3,1,0
"143","The End","2219 ELLISTON PL","9215017100","Eric Holt","1. Yes","","3. Never","3. 11-20 Events per month","4. 20+ Years","1. Ticket sales","3. Somewhat likely","4. Very Likely","4. Very Likely","4. Very Likely","","4. Very Likely","0","0","0","The End is Nashville’s premier small-capacity Rock N Roll dive bar. The End has played host to several of the world’s finest and most raucous bands over quite a long time and still provide a small club experience like nowhere else you’ll find.","","endbruce@yahoo.com","(615) 321-4457","https://endnashville.com/","37203","Davidson","Nashville","Rock","","","","","","","","","","","","","",36.1511421585056,-86.8038906255904,3,4,4,NA,4,1,0
